dataset,run_id,loss,seed,threshold_convention,threshold,threshold_mean,threshold_min,threshold_max,n_images,tp_global_count,fp_global_count,fn_global_count,f1_global,iou_global,precision_global,recall_global,f1_per_image_mean,iou_per_image_mean,precision_per_image_mean,recall_per_image_mean,case_A_both_empty,case_B_gt_empty_pred_nonempty,case_C_gt_nonempty_pred_empty,case_D_both_nonempty,ods_selected_f1_global
Crack500,focal_seed2,focal,2,ODS_test_oracle,0.47,0.46999999999999986,0.47,0.47,1124,11285062,4682341,3192306,0.7413464860681659,0.5889996554749344,0.7067562583596093,0.7794967980367702,0.6953970821247879,0.55551922564979,0.6777814484961774,0.7642738036839634,0,0,10,1114,0.7413464860681659
Crack500,focal_seed2,focal,2,OIS_test_oracle,,0.4567971530249111,0.03,0.81,1124,12009557,4810850,2467811,0.7674383881921318,0.6226369382594079,0.7139873012585248,0.8295400793845953,0.7404570695240357,0.603042319360523,0.6991098368918855,0.8058418893875582,0,0,0,1124,
Crack500,bce_dice_seed0,bce_dice,0,fixed_0.5,0.5,0.5,0.5,0.5,1124,11134407,4635662,3342961,0.7362215185372566,0.5825558270980582,0.7060468156480482,0.7690905556866414,0.6869968170965373,0.5486383511526898,0.6820898131335714,0.7475994957619888,0,0,14,1110,
Crack500,bce_dice_seed0,bce_dice,0,val_selected,0.62,0.6199999999999999,0.62,0.62,1124,10953021,4306419,3524347,0.7366642041741669,0.5831103706616776,0.7177865635960429,0.7565616208692078,0.68652011407403,0.5484715430316701,0.6917922066041974,0.7352405966851479,0,0,14,1110,
Crack500,bce_dice_seed0,bce_dice,0,ODS_test_oracle,0.61,0.6100000000000001,0.61,0.61,1124,10969270,4334346,3508098,0.7366626972433147,0.5831084822999116,0.7167763488054065,0.7576839933888535,0.6866072028401413,0.5485393110856017,0.6910015012930458,0.7363512722869655,0,0,14,1110,0.7366626972433147
Crack500,bce_dice_seed0,bce_dice,0,OIS_test_oracle,,0.4716992882562277,0.01,0.99,1124,11559804,4080952,2917564,0.7676310782172223,0.6228906495846607,0.7390821773576673,0.7984741425375109,0.7262013030730665,0.5924263175754554,0.707919638370867,0.7690506544882013,0,0,8,1116,
Crack500,bce_dice_seed1,bce_dice,1,fixed_0.5,0.5,0.5,0.5,0.5,1124,10714980,3989893,3762388,0.7343493599412053,0.5802149003038404,0.7286686529016606,0.7401193366086984,0.6867357729413817,0.5474060788667112,0.693084795254287,0.7308698783318817,0,0,12,1112,
Crack500,bce_dice_seed1,bce_dice,1,val_selected,0.31,0.30999999999999994,0.31,0.31,1124,11042889,4510695,3434479,0.7354338284047739,0.5815700632550039,0.7099899933031513,0.7627691027816659,0.688138475086751,0.5487276899535765,0.6773420202860038,0.7525943054494859,0,0,11,1113,
Crack500,bce_dice_seed1,bce_dice,1,ODS_test_oracle,0.37,0.3700000000000001,0.37,0.37,1124,10934566,4327801,3542802,0.7353506008039412,0.5814659788486878,0.7164397239301086,0.7552868725862325,0.6879141241917092,0.5485730143113227,0.6827627971408403,0.7454054182042775,0,0,12,1112,0.7353506008039412
Crack500,bce_dice_seed1,bce_dice,1,OIS_test_oracle,,0.4102935943060498,0.01,0.99,1124,11586738,4164082,2890630,0.7666180983127404,0.6215577650880162,0.7356276054199083,0.8003345635753681,0.7261423325507304,0.5908477362022831,0.7038504186391185,0.771649673475272,0,0,7,1117,
Crack500,bce_dice_seed2,bce_dice,2,fixed_0.5,0.5,0.5,0.5,0.5,1124,10939872,4336428,3537496,0.7353629139103118,0.581481376751401,0.7161336187427584,0.7556533756688371,0.6896767360910775,0.5498043327601759,0.6984975898618886,0.7351472427352397,0,0,9,1115,
